ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
'10443720007382518,03/01/2022,03/02/2022 06:18:33,13:15,13:30,.119,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,13:30,13:45,.126,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,13:45,14:00,.119,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,14:00,14:15,.126,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,14:15,14:30,.118,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,14:30,14:45,.125,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,14:45,15:00,.12,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,15:00,15:15,.124,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,15:15,15:30,.121,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,15:30,15:45,.124,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,15:45,16:00,.121,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,16:00,16:15,.122,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,16:15,16:30,.122,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,16:30,16:45,.124,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,16:45,17:00,.121,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,17:00,17:15,.124,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,17:15,17:30,.122,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,17:30,17:45,.157,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,17:45,18:00,.166,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,18:00,18:15,.11,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,18:15,18:30,.136,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,18:30,18:45,.132,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,18:45,19:00,.128,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,19:00,19:15,.124,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,19:15,19:30,.124,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,19:30,19:45,.122,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,19:45,20:00,.124,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,20:00,20:15,.124,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,20:15,20:30,.122,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,20:30,20:45,.122,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,20:45,21:00,.124,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,21:00,21:15,.122,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,21:15,21:30,.122,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,21:30,21:45,.124,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,21:45,22:00,.122,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,22:00,22:15,.122,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,22:15,22:30,.124,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,22:30,22:45,.122,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,22:45,23:00,.122,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,23:00,23:15,.122,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,23:15,23:30,.124,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,23:30,23:45,.121,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,23:45,00:00,.124,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,00:00,00:15,.122,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,00:15,00:30,.121,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,00:30,00:45,.124,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,00:45,01:00,.14,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,01:00,01:15,.126,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,01:15,01:30,.119,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,01:30,01:45,.126,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,01:45,02:00,.119,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,02:00,02:15,.151,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,02:15,02:30,.139,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,02:30,02:45,.121,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,02:45,03:00,.118,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,03:00,03:15,.161,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,03:15,03:30,.128,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,03:30,03:45,.124,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,03:45,04:00,.126,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,04:00,04:15,.146,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,04:15,04:30,.121,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,04:30,04:45,.122,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,04:45,05:00,.149,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,05:00,05:15,.121,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,05:15,05:30,.128,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,05:30,05:45,.145,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,05:45,06:00,.121,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,06:00,06:15,.148,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,06:15,06:30,.126,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,06:30,06:45,.121,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,06:45,07:00,.152,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,07:00,07:15,.12,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,07:15,07:30,.145,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,07:30,07:45,.133,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,07:45,08:00,.125,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,08:00,08:15,.148,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,08:15,08:30,.124,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,08:30,08:45,.12,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,08:45,09:00,.124,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,09:00,09:15,.121,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,09:15,09:30,.133,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,09:30,09:45,.121,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,09:45,10:00,.122,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,10:00,10:15,.122,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,10:15,10:30,.122,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,10:30,10:45,.121,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,10:45,11:00,.15,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,11:00,11:15,.172,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,11:15,11:30,.11,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,11:30,11:45,.133,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,11:45,12:00,.131,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,12:00,12:15,.132,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,12:15,12:30,.121,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,12:30,12:45,.126,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,12:45,13:00,.113,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,13:00,13:15,.116,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,13:15,13:30,.125,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,13:30,13:45,.122,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,13:45,14:00,.122,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,14:00,14:15,.121,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,14:15,14:30,.113,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,14:30,14:45,.107,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,14:45,15:00,.124,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,15:00,15:15,.121,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,15:15,15:30,.121,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,15:30,15:45,.103,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,15:45,16:00,.101,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,16:00,16:15,.091,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,16:15,16:30,.103,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,16:30,16:45,.106,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,16:45,17:00,.091,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,17:00,17:15,.104,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,17:15,17:30,.106,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,17:30,17:45,.091,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,17:45,18:00,.106,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,18:00,18:15,.104,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,18:15,18:30,.092,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,18:30,18:45,.104,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,18:45,19:00,.104,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,19:00,19:15,.092,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,19:15,19:30,.106,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,19:30,19:45,.119,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,19:45,20:00,.098,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,20:00,20:15,.116,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,20:15,20:30,.115,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,20:30,20:45,.101,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,20:45,21:00,.103,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,21:00,21:15,.106,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,21:15,21:30,.1,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,21:30,21:45,.098,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,21:45,22:00,.106,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,22:00,22:15,.101,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,22:15,22:30,.096,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,22:30,22:45,.106,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,22:45,23:00,.103,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,23:00,23:15,.094,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,23:15,23:30,.103,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,23:30,23:45,.102,A,Consumption
'10443720007382518,03/02/2022,03/03/2022 06:17:57,23:45,00:00,.103,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,00:00,00:15,.098,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,00:15,00:30,.09,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,00:30,00:45,.098,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,00:45,01:00,.103,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,01:00,01:15,.102,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,01:15,01:30,.103,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,01:30,01:45,.09,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,01:45,02:00,.109,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,02:00,02:15,.114,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,02:15,02:30,.113,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,02:30,02:45,.107,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,02:45,03:00,.101,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,03:00,03:15,.114,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,03:15,03:30,.113,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,03:30,03:45,.114,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,03:45,04:00,.118,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,04:00,04:15,.191,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,04:15,04:30,.11,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,04:30,04:45,.119,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,04:45,05:00,.142,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,05:00,05:15,.118,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,05:15,05:30,.116,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,05:30,05:45,.116,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,05:45,06:00,.103,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,06:00,06:15,.133,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,06:15,06:30,.113,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,06:30,06:45,.114,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,06:45,07:00,.118,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,07:00,07:15,.126,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,07:15,07:30,.103,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,07:30,07:45,.114,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,07:45,08:00,.128,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,08:00,08:15,.126,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,08:15,08:30,.103,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,08:30,08:45,.103,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,08:45,09:00,.114,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,09:00,09:15,.114,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,09:15,09:30,.113,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,09:30,09:45,.102,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,09:45,10:00,.107,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,10:00,10:15,.113,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,10:15,10:30,.114,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,10:30,10:45,.11,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,10:45,11:00,.102,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,11:00,11:15,.109,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,11:15,11:30,.114,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,11:30,11:45,.113,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,11:45,12:00,.109,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,12:00,12:15,.101,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,12:15,12:30,.112,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,12:30,12:45,.113,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,12:45,13:00,.114,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,13:00,13:15,.107,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,13:15,13:30,.112,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,13:30,13:45,.112,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,13:45,14:00,.103,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,14:00,14:15,.107,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,14:15,14:30,.107,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,14:30,14:45,.106,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,14:45,15:00,.092,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,15:00,15:15,.103,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,15:15,15:30,.104,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,15:30,15:45,.1,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,15:45,16:00,.098,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,16:00,16:15,.104,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,16:15,16:30,.102,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,16:30,16:45,.096,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,16:45,17:00,.104,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,17:00,17:15,.106,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,17:15,17:30,.092,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,17:30,17:45,.106,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,17:45,18:00,.104,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,18:00,18:15,.094,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,18:15,18:30,.104,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,18:30,18:45,.106,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,18:45,19:00,.097,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,19:00,19:15,.1,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,19:15,19:30,.106,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,19:30,19:45,.101,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,19:45,20:00,.096,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,20:00,20:15,.106,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,20:15,20:30,.104,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,20:30,20:45,.092,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,20:45,21:00,.106,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,21:00,21:15,.106,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,21:15,21:30,.095,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,21:30,21:45,.102,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,21:45,22:00,.188,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,22:00,22:15,.107,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,22:15,22:30,.113,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,22:30,22:45,.118,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,22:45,23:00,.114,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,23:00,23:15,.114,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,23:15,23:30,.107,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,23:30,23:45,.101,A,Consumption
'10443720007382518,03/03/2022,03/04/2022 06:17:43,23:45,00:00,.106,A,Consumption
'10443720007382518,03/04/2022,03/05/2022 06:16:00,00:00,00:15,.106,A,Consumption
'10443720007382518,03/04/2022,03/05/2022 06:16:00,00:15,00:30,.1,A,Consumption
'10443720007382518,03/04/2022,03/05/2022 06:16:00,00:30,00:45,.097,A,Consumption
'10443720007382518,03/04/2022,03/05/2022 06:16:00,00:45,01:00,.106,A,Consumption
'10443720007382518,03/04/2022,03/05/2022 06:16:00,01:00,01:15,.104,A,Consumption
'10443720007382518,03/04/2022,03/05/2022 06:16:00,01:15,01:30,.095,A,Consumption
'10443720007382518,03/04/2022,03/05/2022 06:16:00,01:30,01:45,.102,A,Consumption
'10443720007382518,03/04/2022,03/05/2022 06:16:00,01:45,02:00,.103,A,Consumption
'10443720007382518,03/04/2022,03/05/2022 06:16:00,02:00,02:15,.102,A,Consumption
'10443720007382518,03/04/2022,03/05/2022 06:16:00,02:15,02:30,.101,A,Consumption
'10443720007382518,03/04/2022,03/05/2022 06:16:00,02:30,02:45,.091,A,Consumption
'10443720007382518,03/04/2022,03/05/2022 06:16:00,02:45,03:00,.096,A,Consumption
